relone_date,gov_date,type,feature,description
2020/05/27,,Enhancement,Collect,"You can now clone any Collect job not currently in a ""New"" state. All information will be carried over to the new cloned job except for collection counts and sizes which are set to zero. The cloned job name will have the word ""Cloned"" appended to the original name as well as a date and time stamp indicating when the job was created. (Juniper RelativityOne Update 2)"
2020/05/27,,Enhancement,Collect,The Summary Report now shows the Relativity user that started the collection and what date and time it was started. The Summary Report also now shows the total number of items inventoried for each target along with the number of items actually collected. (Juniper RelativityOne Update 2)
2020/05/27,,Enhancement,Collect,You will now see the total number of items that were inventoried and met collection criteria for each target on the collection details console page. (Juniper RelativityOne Update 2)
2020/05/27,,Enhancement,Collect,"The monitoring page now displays all queued jobs under the ""Queued"" column. Jobs that have been created, but not started or queued no longer display on the monitoring page. (Juniper RelativityOne Update 2)"
2020/05/19,,Enhancement,RelativityOne Mobile,Admins using the RelativityOne app for iOS can add groups from the Groups tab. (3.0.1)
2020/05/19,,Enhancement,RelativityOne Mobile,Admins using the RelativityOne app for iOS can copy permissions into a group in the Workspaces tab. (3.0.1)
2020/05/03,,Enhancement,RelativityOne Mobile,"The RelativityOne app for iOS now gives you the power to complete admin tasks from anywhere. If youâre an admin, update to version 3.0 of the app for the ability to perform your most critical review-related tasks from the palm of your hand, including: adding and editing users; adding and editing login methods; resetting passwords; viewing and adding users to groups; adding and removing groups from workspaces. (3.0.0)"
2020/04/29,,Enhancement,Discovery,"When discovering emails with OLE (Object Linking and Embedding) object attachments, we now extract the child document successfully. (Juniper RelativityOne Update 1)"
2020/04/29,,Enhancement,Legal Hold,The Legal Hold tab is now set as the default tab during installation of Legal Hold into a workspace. (Juniper RelativityOne Update 1)
2020/04/29,,Enhancement,Collect,Collect jobs are now automatically placed into a queue upon starting while there is an active job running. Jobs enter the queue in the order they are started. When a job completes the next job in the queue will be picked up and started. (Juniper RelativityOne Update 1)
2020/04/25,,Enhancement,Mass Save as PDF,"On April 25th, 2020 we released to RelativityOne's customers a new mass operation to generate PDFâs. This new application will replace the existing Save as PDF mass operation. New functionality includes: PDF profiles, new PDF naming option, and a new progress and error reports. (Juniper RelativityOne)"
2020/03/28,,Enhancement,RelativityOne Activity Dashboard,Store utilization metrics are now available in the Data Utilization widgets of the RelativityOne Activity Dashboard. (Juniper RelativityOne)
2020/03/28,,Enhancement,Legal Hold,You can now schedule the Questionnaire Responses Export report. (Juniper RelativityOne)
2020/03/28,,Enhancement,Legal Hold,The Project object is now set by default with the Use Relativity Forms field set to Yes. (Juniper RelativityOne)
2020/03/17,,Resolved defect,RelativityOne Mobile,The RelativityOne app for iOS improved performance with the resolution of minor bugs. (2.0.3)
2020/03/09,,Enhancement,RelativityOne Mobile,The RelativityOne app for iOS includes Aero UI updates and stylings. (2.0.2)
2020/03/09,,Resolved defect,RelativityOne Mobile,The RelativityOne app for iOS improved performance with the resolution of minor bugs. (2.0.2)
2020/02/26,,Enhancement,Core,"Choices can now be created for any single and multiple choice field directly from the field page. Simply create the field, save it, and then locate the choice editor that appears on the page. There is now only a single choice tab on the navigation bar, which navigates to the choice list page, on which you can create new choices (Juniper Early Access Update)"
2020/02/25,,Enhancement,RelativityOne Mobile,The RelativityOne app for iOS includes user experience updates. (2.0.1)
2020/02/25,,Resolved defect,RelativityOne Mobile,The RelativityOne app for iOS improved performance with the resolution of minor bugs. (2.0.1)
2020/02/17,,Enhancement,RelativityOne Mobile,Version 2.0 brings the ability to download documents for offline viewing. Tap the new Offline tab to start downloading and viewing documents offline. (2.0.0)
2020/02/01,,Resolved defect,Discovery,"Child documents extracted from AD1 files now have their file times set correctly before expansion. This affects the Date Modified, Date Created, and Date Accessed fields. (Indigo RelativityOne Update 1)"
2020/02/01,,Resolved defect,Search,"When modifying the Order of Active field on a Keyword Search index, the desired setting change applied now applies correctly to the selected index. (Indigo RelativityOne Update 1)"
2020/02/01,,Enhancement,RDO,"Saved searches, views, and filters using the ""Is Set"" or âIs Not Setâ operators may exhibit a minor behavior changes if used on text fields stored in SQL. Text fields containing only white space will be considered set, and be returned when searching for âIs Setâ text which can affect the results of existing saved searches, views, or filters. This behavior change improves performance when using the ""Is Set"" or ""Is Not Set"" operators, but can be reverted if the new behavior is unfavorable. Please reach out to your Customer Support representative for additional details. (Indigo RelativityOne Update 1)"
2020/02/01,,Enhancement,Legal Hold,"The new Relativity Legal Hold Preservation Agent handles all Office 365 Preservation-related work. If you have active O365 Preservations or if you intend to, you need to create at least one agent of this new type in order for Preservation-related jobs to be performed. (Indigo RelativityOne Update 1)"
2020/02/01,,Resolved defect,Legal Hold,"When viewing a Communication, clicking the Custodian Open Items report now displays the open items. (Indigo RelativityOne Update 1)"
2020/02/01,,Enhancement,Analytics,"Cluster Visualization interactions have improved to keep consistent with other visualization methods within the UI. To select and apply a filter, the user interaction is single click (left click) and to zoom into a cluster, the user interaction is to double click (left click). (Indigo RelativityOne Update 1)"
2020/02/01,,Enhancement,ARM,"ARM Restores that Include Data Grid and audits stored in Elasticsearch now automatically retry restore steps when transient errors (502, 503, 504, etc.) occur. (Indigo RelativityOne Update 1)"
2020/02/01,,Resolved defect,Search,"When a dtSearch worker agent failure occurs during the index build Finalizing step, the new behavior to prevent the agent from disabling now includes the proper directories when the agent is restarted automatically. (Indigo RelativityOne Update 1)"
2020/02/01,,Resolved defect,Relativity Scripts & Utilities,"In the Data Grid Text Migration application, queries involved in the batching operations for both migration and verification steps are now updated to be more efficient - improving read operation performance and overall job performance. (Indigo RelativityOne Update 2)"
2020/02/01,,Enhancement,Collect,The Summary Report now shows the filter criteria used for each data source in a collection job. The report also now shows the associated data source name for each target that data was collected from. (Indigo RelativityOne Update 2)
2020/02/01,,Enhancement,Collect,"You can now collect from single folders within an Office 365 Outlook mailbox using the ""Parent Folder Name"" filter criteria option. Any subfolders under a parent folder that is collected will also be collected. (Indigo RelativityOne Update 2)"
2020/02/01,,Enhancement,Collect,You can now optionally containerize collected data into ZIP64 formatted files. You can also optionally specify a password for the containers for added security of collected data. Maximum container size is 10GB. Collections larger than 10GB will be split across one or more container files. ZIP containerization is recommended if you will be pulling collections down from RelativityOne. (Indigo RelativityOne Update 2)
2020/02/01,,Enhancement,Discovery,Relativity Processing now supports Solidworks eDrawings 2020. (Indigo RelativityOne Update 1)
2020/02/01,,Enhancement,Audit,ARM Archives that Include Data Grid now contain retry logic when a 401 authentication error is encountered to keep the job progressing. (Indigo RelativityOne Update 1)
2020/01/29,,Enhancement,Short Messages,"Users can now filter RSMF documents by conversation, participant, event, and date in the Short Message Viewer. (Juniper Early Access)"
2020/01/29,,Enhancement,Errors,Stack Trace information in the Tracking Log table moved from the Details column to its own StackTrace column. Stack Trace information is no longer present in the Relativity front-end in the advanced tab for Processing Errors. (Juniper Early Access)
2020/01/29,,Enhancement,Processing Agents,"When no processing set manager exists, an error indicating as such is present on the top of the processing set layout page. (Juniper Early Access)"
2020/01/29,,Enhancement,Collect,You can now leverage RelativityOne Store in Collect as a digital evidence locker. Store now appears as a potential collection storage destination along with your Processing Source locations and enables you to securely store large volumes of collected data with proximity to RelativityOne for any future litigation needs. (Juniper Early Access)
2020/01/29,,Enhancement,Discovery,Improvements made to the stability of Discovering Cabinet files. (Juniper Early Access)
2020/01/29,,Resolved defect,Discovery,"Resolved a condition during Text Extraction that causes stuck jobs, requiring manual intervention to resolve. (Juniper Early Access)"
2020/01/29,,Resolved defect,Discovery,Improvements made to the stability of Discovering TAR container files. (Juniper Early Access)
2020/01/29,,Enhancement,Application Library UI,"Library Application UI page now uses the new Kepler APIs. The user experienced improved by reducing the number of clicks and steps needed to install an application including buttons to install a library application into all the workspaces in one click, buttons to cancel and retry upgrades, and a progress bar that displays real time updates of the status of application upload into the library. (Juniper Early Access)"
2020/01/29,,Enhancement,List Page,"When selecting fields to display in a saved search or view, you can now pick a field category that will display a categorized list of fields to select from. (Juniper Early Access)"
2020/01/29,,Enhancement,List Page,"When applying field conditions to a saved search or a view, you can now pick a field category that will display a categorized list of fields to select from. (Juniper Early Access)"
2020/01/04,,Enhancement,RDO,"The Object Manager API and Relativity.Services now includes IntelliSense, which provides developers with inline support to indicate the methods, parameters, and properties for the APIs they are consuming. (Indigo RelativityOne)"
2020/01/04,,Enhancement,Transcripts,The DisableLegacyTranscripts and HideProcessTranscriptsMassOperation instance settings used for the legacy Transcripts application have been removed. (Indigo RelativityOne)
2020/01/04,,Enhancement,Short Message Viewer,The size and collapsed state of the timeline in the Short Message Viewer now persists between document navigation. (Indigo RelativityOne)
2020/01/04,,Enhancement,Document Preview Panel,"The Document Preview Panel displays all available viewer tabs even if the document has no content for those viewer modes. If no content exists, the tab styling is updated to indicate that and a placeholder is displayed with a message stating the content does not exist. (Indigo RelativityOne)"
2020/01/04,,Resolved defect,Relativity Desktop Client,"Value of ""executionTimeout"" in Web.config file for Relativity.Distributed site was changed to 20 minutes. Any existing value of that attribute will be overwritten during upgrade. (Indigo RelativityOne)"
2020/01/04,,Resolved defect,Discovery,"Child documents extracted from AD1 files now have their file times set correctly before expansion. This affects the Date Modified, Date Created, and Date Accessed fields. (Indigo RelativityOne)"
2020/01/04,,Resolved defect,Discovery,We have improved the stability of Discovering zip files. (Indigo RelativityOne)
2020/01/04,,Enhancement,Discovery,We have improved the performance of Discovering smaller zip files. (Indigo RelativityOne)
2020/01/04,,Resolved defect,Search,"Restoring the workspace now correctly includes the dtSearch indexes as active when the ""Include dtSearch"" setting is set to ""Yes"" during an ARM Archive. (Indigo RelativityOne)"
2020/01/04,,Resolved defect,Search,"When copying a dtSearch index with the Create Accent Sensitive setting set to
""Yes,"" the setting now correctly copies over along with the other settings. (Indigo RelativityOne)"
2020/01/04,,Enhancement,Case Dynamics,"With the new auto-save feature, your changes are saved automatically when you create, link, and unlink items on the Coding Pane to reduce clicks. Additionally, the Coding Pane was modified to clearly distinguish linked or unlinked items. The auto-save feature only applies to the Case Dynamics Coding Pane; on other layouts the Save buttons are required to save changes. (Indigo RelativityOne)"
2020/01/04,,Enhancement,Analytics,"Starting with Lanceleaf 0, Analytics does not require an Analytics Server value in the Advanced Settings of the Analytics Index Layout page. Since this is not a requirement, the Analytics Server option will be removed from Advanced Settings tab of the Analytics Index Layout page for Structured Analytics Sets, Classification and Conceptual Indexes. For a Classification Index, since the only option in the Advanced Settings of the Analytics Index Layout page was the Analytics Server field, Advance Settings will be removed. (Indigo RelativityOne)"
2020/01/04,,Enhancement,Active Learning,"Prioritized Review gives you the option to review family documents (optimized for email and attachments) together. When Include Family is enabled, Active Learning serves documents with their family documents to reviewers. All family documents included in the index are served to the reviewer, including documents that were previously coded. (Indigo RelativityOne)"
2019/12/05,,Enhancement,RelativityOne Mobile,Users can now copy coding decisions from the previous save using Copy from Previous. (1.3.2)
2019/12/05,,Enhancement,RelativityOne Mobile,The RelativityOne app for iOS includes user experience updates. (1.3.2)
2019/12/05,,Resolved defect,RelativityOne Mobile,The RelativityOne app for iOS improved performance with the resolution of minor bugs. (1.3.2)
2019/11/23,,Resolved defect,Discovery,Invariant now correctly extracts all attachments from email files (EML) that do not adhere to format specifications by having a mixture of non-matching carriage returns and line feeds separating the attachments. (Goatsbeard RelativityOne Update 2)
2019/11/23,,Resolved defect,Authentication,"Google will be releasing an update to Chrome on February 3rd has the potential to degrade authentication into RelativityOne via Okta. Normally, users have 5 minutes to complete their authentication in the system (meaning provide usernames and passwords and then complete second-factor verification via Okta). With the new change, this window will be reduced to 2 minutes for an unspecified grace period by Google and then, ultimately eliminated completely. (Goatsbeard RelativityOne Update 2)"
2019/11/23,,Enhancement,Authentication,"System Administrators and Developers will have the ability to create an OpenID Connect Authentication Provider and specify which scopes they would like their Identity Provider to give them, so that it is much easier for the administrators to manage a user's Login Method. (Goatsbeard RelativityOne Update 2)"
2019/11/23,,Resolved defect,Search,"When modifying the Order of Active field on a Keyword Search index, the desired setting change applied now correctly applies to the selected index. (Goatsbeard RelativityOne Update 2)"
2019/11/23,,Resolved defect,Audit,"When running Reviewer Statistics on a specific date range more than once, the correct usage metrics' values correctly displays in the report. (Goatsbeard RelativityOne Update 2)"
2019/11/23,,Enhancement,Legal Hold,"There is now a Relativity Legal Hold Preservation Agent that handles all Microsoft 365 Preservation-related work. If you have active M365 Preservations or if you intend to, you need to create at least one agent of this new type in order for Preservation-related jobs to be performed. (Goatsbeard RelativityOne Update 2)"
2019/11/23,,Enhancement,Infrastructure,Processing now supports Solidworks eDrawings 2020. (Goatsbeard RelativityOne Update 2)
2019/11/23,,Resolved defect,Discovery,"Child documents extracted from AD1 files now have their file times set correctly before expansion. This affects the Date Modified, Date Created, and Date Accessed fields. (Goatsbeard RelativityOne Update 2)"
2019/11/23,,Enhancement,Discovery,We have improved the performance of Discovering smaller zip files. (Goatsbeard RelativityOne Update 2)
2019/11/23,,Resolved defect,Discovery,We have improved the stability of Discovering zip files. (Goatsbeard RelativityOne Update 2)
2019/11/23,,Enhancement,RelativityOne Repository Workspace,Imaging and OCR functionality now available. (Goatsbeard RelativityOne Update 2)
2019/11/23,,Enhancement,ARM,"Zip compression will be removed with Goatsbeard 2. As a consequence, both *CompressionLevel* and *MaxArchiveFileSize* Instance settings no longer exist. Note: Legacy compressed archives performed by ARM are still supported (read and decompression) and ARM will detect that the archive has been compressed previously. This impacts both Relativity Server (10.3.2) and RelativityOne. (Goatsbeard RelativityOne Update 2)"
2019/11/23,,Enhancement,ARM,The *AgentThreadCount* instance setting no longer exists from kCura ARM section. The default number of agents will be 12 with one thread per each agent as this gives the best performance for parallel ARM jobs. We do not recommend to increase the number of agents above 12 as the most effective setting is anything between 6 and 12. This change impacts both Relativity Server (10.3.2) and RelativityOne. (Goatsbeard RelativityOne Update 2)
2019/11/23,,Resolved defect,Relativity Desktop Client,Customers can now import files with RDC when the (delimiter || quote) is white space. (Goatsbeard RelativityOne Update 2)
2019/11/23,,Resolved defect,Relativity Desktop Client,Removed discrepancy between processed count and exported count when export is successful. (Goatsbeard RelativityOne Update 2)
2019/11/23,,Resolved defect,Relativity Desktop Client,"In Web mode, missing files in a workspace causes an error message to display. (Goatsbeard RelativityOne Update 2)"
2019/11/23,,Enhancement,Relativity Desktop Client,The file transfer mode status is disabled when copying images and natives are both disabled. (Goatsbeard RelativityOne Update 2)
2019/11/23,,Resolved defect,Discovery,Corrected an issue where extracted text was getting corrupted when an emoji was present in an email file. (Goatsbeard RelativityOne Update 2)
2019/11/23,,Enhancement,Legal Hold,You can now select .CSV for the output format for the Questionnaire Responses Export report. (Goatsbeard RelativityOne Update 2)
2019/11/23,,Resolved defect,Legal Hold,You can now ARM Restore Workspaces containing Legal Hold Scheduled Communications. (Goatsbeard RelativityOne Update 2)
2019/11/23,,Resolved defect,Legal Hold,"New Preservation Holds will no longer remain in a ""Pending"" state if the initial Preservation Case creation attempt fails. (Goatsbeard RelativityOne Update 2)"
2019/11/23,,Resolved defect,Search,"When the 'Include dtSearch' setting is set to 'Yes' during an ARM Archive, Restoring the workspace will now correctly include the dtSearch indexes as active. (Goatsbeard RelativityOne Update 2)"
2019/11/23,,Resolved defect,Relativity Scripts & Utilities,The Case Metrics application now enters the correct time zone for both the last 7 days and Last Week selection when the Audit application is installed on the selected workspace. (Goatsbeard RelativityOne Update 2)
2019/11/20,,Enhancement,RelativityOne ECA Template,The RelativityOne ECA Template workspace now includes template Field Categories. (Indigo Early Access Update)
2019/11/20,,Enhancement,RelativityOne Investigations Template,The RelativityOne Investigations Template workspace now includes template Field Categories. (Indigo Early Access Update)
2019/11/20,,Enhancement,RelativityOne Review Template,"New RelativityOne instances starting with RelativityOne Indigo have access to the RelativityOne Review Template workspace which simplifies the end-to-end process of document review by making visible only the recommended set of tabs, fields, views, and layouts. For existing instances, please contact support@relativity.com to have the workspace include ARM in your instance. (Indigo Early Access Update)"
2019/11/20,,Enhancement,Viewer,"When users are hovering over entity of interest, there is a link back to the Entity page from the Short Message Viewer, if a workspace is leveraging name normalization. (Indigo Early Access Update)"
2019/10/29,,Enhancement,RelativityOne Mobile,The RelativityOne app for iOS includes user experience updates. (1.3.1)
2019/10/29,,Resolved defect,RelativityOne Mobile,The RelativityOne app for iOS improved performance with the resolution of minor bugs. (1.3.1)
2019/10/26,,Enhancement,Search,dtSearch Index Worker agents now include logic to handle sub-index failures without causing the agent to become disabled. (Goatsbeard RelativityOne Update 1)
2019/10/24,,Enhancement,Integration Points,"When a new workspace is created using a template workspace with existing Integration Point Profiles, the profiles are copied over to the newly created workspace. Only Export type Integration Point Profiles with Source:Relativity and Destination: Relativity are enabled for copying at workspace creation. The Integration Point Profiles with Type: Import or Export with Destination:Loadfile arenât be carried over. (Indigo Early Access)"
2019/10/24,,Enhancement,Integration Points,The Proof of Concept option for transferring documents between Relativity instances no longer exists. Integration Points should continue to be used for transferring documents between workspaces within the same instance. (Indigo Early Access)
2019/10/24,,Enhancement,Search Term Reports,"Search Terms Reports now support the Copy mass action. When a Search Terms Report is copied, all terms are copied, but not the results and document tags. (Indigo Early Access)"
2019/10/24,,Enhancement,Search,"When an overlay is applied to a document or a change occurs on a metadata field, you can now perform a dtSearch index Incremental Build rather than Full Build to update your dtSearch index. (Indigo Early Access)"
2019/10/24,,Enhancement,Assisted Review,"The three new columns; Index Health, Highest Ranked, Highest Ranked Coded <Positive Choice>; display in the Review Summary/Prioritized Review report. Highest ranked is the denominator in the relevance rank calculation, highest ranked coded positive choice is the numerator and index health are the documents not considered in the calculation. (Indigo Early Access)"
2019/10/24,,Enhancement,Relativity Scripts & Utilities,The Breakage Report feature for the Data Grid Text Migration application is now available as a Relativity script. The Breakage Report feature assists with preparing for a workspace migration from Relativity Server instances to RelativityOne. (Indigo Early Access)
2019/09/30,,Enhancement,RelativityOne Mobile,The RelativityOne app for iOS now includes a toggle for highlights in the document viewer. (1.3)
2019/09/30,,Enhancement,RelativityOne Mobile,The RelativityOne app for iOS supports iOS 13 including Dark Mode. (1.3)
2019/09/30,,Enhancement,RelativityOne Mobile,The RelativityOne app for iOS includes user experience updates. (1.3)
2019/09/30,,Resolved defect,RelativityOne Mobile,The RelativityOne app for iOS environments has been maintained to improve performance to resolve minor bugs. (1.3)
2019/09/28,,Enhancement,RDO,"The new Field Manger API includes multiple operations for programmatically working with field types supported by Relativity, including multiple choice, fixed length text, date, and other fields. It exposes methods for create, read, update, and delete operations on fields. It also provides helper methods for retrieving available object types, views, keyboard shortcuts, and other information about properties that you can set on fields. These methods are available on the IFieldManager Interface in the Relativity.Services.Interfaces.Field namespace. The classes and enumerations supporting this functionality are available in the Relativity.Services.Interfaces.Field.Models namespace. (Goatsbeard RelativityOne)"
2019/09/28,,Enhancement,ADS,"The new Library Applications Manager API includes multiple operations for working with applications supported by Relativity. It exposes methods for create, read, update, and delete operations on Applications. Apart from providing asynchronous helper methods for retrieving application install status and retry application installs, additional helper methods are newly available for retrieving workspace installation details, installation results, and errors and to cancel application installs. These methods work across the ILibraryApplicationsManager and IApplicationInstallManager interfaces. The classes and enumerations supporting this functionality are available in the Relativity.Services.Interfaces.LibraryApplication namespace (Goatsbeard RelativityOne)"
2019/09/28,,Enhancement,Admin Operations,"New web and cloudy-friendly RESTful APIs for Matter are now available, and it's responsible for performing C.R.U.D operations; it includes all business logic and rules captured when a Relativity administrator manages matters in the Relativity interface. (Goatsbeard RelativityOne)"
2019/09/28,,Enhancement,Audit,Data Grid Audit Migrator agent now includes additional error handling to reduce the possibility of the agent disabling due to failed migrations. (Goatsbeard RelativityOne)
2019/09/28,,Resolved defect,Search,"A notification displays if you are incorrectly entering Keyword Search syntax. The error reads, ""Invalid syntax in Keyword Search query."" (Goatsbeard RelativityOne)"
2019/09/28,,Enhancement,Collect,"Relativity Collect is a new application now available to all North American RelativityOne customers. You can now collect Office 365 OneDrive files, Outlook emails, contact, and calendars directly to a processing source location of your choice. Relativity Collect is part of your RelativityOne subscription at no additional cost. Contact your Customer Success Manager for information on getting Relativity Collect installed into your RelativityOne instance. (Goatsbeard RelativityOne)"
2019/09/28,,Resolved defect,Structured Analytics,Increased the quality of parsing email headers during Name Normalizations to improve the identification and grouping of unique entities and aliases. (Goatsbeard RelativityOne)
2019/09/28,,Enhancement,Transfer Mode UI,"The Transfer Mode UI displays multiple transfer modes based on configurations and displays ""Pending"" when it's determining the mode. (Goatsbeard RelativityOne)"
2019/09/03,,Enhancement,RelativityOne Mobile,User experience improvements include adding an infinite scroll spinner and skeleton loading images. (1.2.3)
2019/09/03,,Resolved defect,RelativityOne Mobile,"RelativityOne Mobile app 1.2.3 now displays the custodian object in the second field correctly, displays Touch ID message correctly, and dismisses the saving toast correctly. (1.2.3)"
2019/08/31,,Enhancement,Infrastructure,You're no longer required to install the Hancom Office Hanword 2014 Viewer in order to use Relativity Processing. (Foxglove RelativityOne Update 2)
2019/08/31,,Resolved defect,Legal Hold,"The Employment Status Change report now shows any Custodians whose End date falls within the specified report date range, even if the posting date of the related audit entry itself falls outside the reporting date range. (Foxglove RelativityOne Update 2)"
2019/08/31,,Resolved defect,Legal Hold,"Saved communications now display graphics embedded in tables. Also, you can now resize graphics embedded in tables without getting stuck in a never-ending resizing session. (Foxglove RelativityOne Update 2)"
2019/08/31,,Resolved defect,Discovery,We now properly extract Line Art from HWP files. (Foxglove RelativityOne Update 2)
2019/08/31,,Resolved defect,Discovery,We improved performance of worker process initialization during Processing. (Foxglove RelativityOne Update 2)
2019/08/31,,Enhancement,Processing,A reduced memory footprint now allows a large number of document errors to be retried at once without getting stuck. (Foxglove RelativityOne Update 2)
2019/08/31,,Resolved defect,Processing Agents,Large tracking logs no longer cause slow or failed processing jobs. (Foxglove RelativityOne Update 2)
2019/08/31,,Resolved defect,OCR,We now send email notifications for completed OCR jobs. (Foxglove RelativityOne Update 2)
2019/08/31,,Resolved defect,Production Sets,"Productions no longer write to the Date Produced field if the field is already populated. Upon copying a production, the date produced field is no longer be copied. (Foxglove RelativityOne Update 2)"
2019/08/31,,Resolved defect,Production Sets,"If the number of document fields or the number of produced productions is bigger than the choiceoflimitonUI setting, the refreshed layout message doesn't show up after upgrade in the production layout. (Foxglove RelativityOne Update 2)"
2019/08/31,,Enhancement,Analytics,The Java Developer Kit (JDK) that is utilized in the Relativity Analytics Engine has been updated from Oracle JDK to AdoptOpenJDK version 8. (Foxglove RelativityOne Update 2)
2019/08/28,,Enhancement,ARM,"With Goatsbeard 0 release the following warning message will be displayed on ARM jobs tab for the customers using recurring jobs: ""Please be notified that starting Indigo release (1/4 - 1/18/2020), Execution Type: Recurring functionality will be removed from ARM. Please cancel all existing recurring jobs in advance as they will not be executed after Indigo release."" Starting Goatsbeard 0 release there will be no possibility of adding new recurring job neither editing the existing one. See ARM documentation for details. (Goatsbeard Early Access Update)"
2019/08/28,,Resolved defect,Telemetry,"The Telemetry Application had the Global Application flag added to it. This should prevent it from being installed into workspaces. It was possible for clients to have already installed it in workspaces and they will need to uninstall it from the workspaces when upgrading to 10.3 or higher. (Clients should uninstall it from workspaces even if they are not upgrading. It does not need to be in workspaces.) How to: 1. Log into the instance front end as a System Admin user. 2. Change the Instance setting ""DeveloperMode"" in section ""Relativity.Core"" to True 3. Go to the Application Library tab and click on ""Relativity.Telemetry"", this will show you a list of workspaces the app is installed in. 4. For every workspace the app is in: * Go to the workspace's ""Relativity Application"" tab * Click the Relativity.Telemetry application * Unlock the application via the button. * Uninstall the application via the button. * Verify the uninstall via the button. * Uninstall the application via the button 5. After the app has been uninstalled from every workspace, go back and change the Instance setting ""DeveloperMode"" in section ""Relativity.Core"" to False (Goatsbeard Early Access Update)"
2019/08/28,,Resolved defect,Workspace Portal,"The Workspace Portal now properly respects the permission, âWorkspace Portal Services Permission.â (Goatsbeard Early Access Update)"
2019/08/28,,Resolved defect,Relativity Scripts & Utilities,The Data Grid Text Migration application now batches the Field setup query to correctly handle large case migrations. (Goatsbeard Early Access Update)
2019/08/28,,Enhancement,Relativity Scripts & Utilities,The Breakage Report is now exportable to either CSV or XLSX via the export link at the top of the list. (Goatsbeard Early Access Update)
2019/08/28,,Enhancement,Relativity Scripts & Utilities,The Breakage Report now includes two columns containing the operators and the searchable text used to create the Saved Search. (Goatsbeard Early Access Update)
2019/08/28,,Enhancement,Relativity Scripts & Utilities,The Data Grid Text Migration application now automatically creates a copy index of any active dtSearch index that uses the deprecated <All Documents in Workspace> Searchable Set. The system created index creates a Saved Search that includes the same fields as the <All Documents in Workspace> Searchable Set. You can use the Index Swap button in the dtSearch index console to update any existing Saved Searches using the original dtSearch index that are no longer valid. (Goatsbeard Early Access Update)
2019/08/28,,Enhancement,Relativity Scripts & Utilities,"The Data Grid Text Migration application will now automatically start any jobs that are in a Pending state that can be found in the Text Migration Jobs tab. For workspaces ARM Restored into RelativityOne, this feature will automatically create a job and execute on the Extracted Text field to migrate to Data Grid. (Goatsbeard Early Access Update)"
2019/08/28,,Enhancement,Relativity Scripts & Utilities,"When selecting the Start Job button or Retry Errors button in your Data Grid Text Migration job, your job will be added to the queue to begin as soon as any running or pending jobs complete. (Goatsbeard Early Access Update)"
2019/08/28,,Enhancement,Short Message Viewer,"Weâve made UI changes to the Short Message Viewer to improve layout specifications, participant list badge colors, skin style, conversation header, and date and conversation breaks. (Goatsbeard Early Access Update)"
2019/07/27,,Resolved defect,Search,You can now perform a dtSearch index build on documents greater than 2 GBs. (Foxglove RelativityOne Update 1)
2019/07/27,,Resolved defect,Search,You can run a full or incremental build on existing dtSearch indexes still using the deprecated <All Documents in Workspace> Searchable Set. (Foxglove RelativityOne Update 1)
2019/07/27,,Resolved defect,Audit,You can now sort on the Object Artifact ID in the Audit tab. (Foxglove RelativityOne Update 1)
2019/07/27,,Resolved defect,Legal Hold,Email addresses that contain a hyphen before the @ are no longer treated as invalid. (Foxglove RelativityOne Update 1)
2019/07/27,,Resolved defect,Legal Hold,Legal Hold no longer becomes unresponsive when you change a custodian's assigned role to a role that has the Place On Preservation Hold system tag enabled. (Foxglove RelativityOne Update 1)
2019/07/27,,Resolved defect,Legal Hold,The Questionnaire Responses Export report now populates correctly in workspaces that were previously ARM-ed. (Foxglove RelativityOne Update 1)
2019/07/27,,Resolved defect,Production Sets,You're now able to edit a produced production that gets upgraded from any previous versions of Relativity to Foxglove 1 or Goatsbeard EA. (Foxglove RelativityOne Update 1)
2019/07/25,,Enhancement,RelativityOne Mobile,The RelativityOne mobile app now support the text size option within the iOS settings. (1.2.2)
2019/07/25,,Enhancement,RelativityOne Mobile,The RelativityOne mobile app now includes a list of third party libraries used in the app within the iOS settings to meet OSS compliance. (1.2.2)
2019/07/24,,Enhancement,Assisted Review,The Coded Documents count is no longer reported on the Active Learning Viewer. (Goatsbeard Early Access)
2019/07/24,,Resolved defect,Assisted Review,We now provide a notification on an Active Learning project that a Classification Index is inactive after you manually cancel population. (Goatsbeard Early Access)
2019/07/24,,Enhancement,Assisted Review,"The Active Learning viewer now supports undocking the viewer, swapping panes, a standalone viewer, and backward document navigation. (Goatsbeard Early Access)"
2019/07/24,,Enhancement,Assisted Review,"The Review Statistics tab now contains a section called Model Updates, which contains a history of Active Learning model builds. (Goatsbeard Early Access)"
2019/07/24,,Enhancement,Assisted Review,"In the documents tab, you can now run a search against a classification index to quickly return documents of a certain rank or within a range of ranks from an Active Learning Project. (Goatsbeard Early Access)"
2019/07/24,,Enhancement,Assisted Review,"By default, the Document List view that is generated when an Active Learning Project is created is now sorted on the Reviewed On field in ascending order. (Goatsbeard Early Access)"
2019/07/24,,Resolved defect,Conceptual Analytics,You now need the View permission on Analytics Indexes to perform a search with the conceptual and classification search providers. (Goatsbeard Early Access)
2019/07/24,,Enhancement,Structured Analytics,"When you run name normalization, we now automatically merge entities with the same first name and last name values rather than creating duplicate entities of the same name with a number suffixed to the end. (Goatsbeard Early Access)"
